datetime,close
2020-06-05,81.87
2020-06-08,81.51
2020-06-09,81.02
2020-06-10,80.28
2020-06-11,75.92
2020-06-12,76.6
2020-06-15,79.29
2020-06-16,80.43
2020-06-17,79.21
2020-06-18,80.87
2020-06-19,80.99
2020-06-22,80.82
2020-06-23,80.06
2020-06-24,77.29
2020-06-25,79.9
2020-06-26,77.89
2020-06-29,78.4
2020-06-30,80.11
2020-07-01,79.8
2020-07-02,79.23
2020-07-06,79.42
2020-07-07,78.02
2020-07-08,77.37
2020-07-09,77.79
2020-07-10,80.76
2020-07-13,80.33
2020-07-14,84.5
2020-07-15,85.89
2020-07-16,87.11
2020-07-17,87.63
2020-07-20,88.13
2020-07-21,88.85
2020-07-22,90.14
2020-07-23,88.64
2020-07-24,87.86
2020-07-27,87.3
2020-07-28,87.42
2020-07-29,88.92
2020-07-30,88.52
2020-07-31,90.34
2020-08-03,89.89
2020-08-04,90.25
2020-08-05,90.62
2020-08-06,89.61
2020-08-07,90.73
2020-08-10,90.12
2020-08-11,89.02
2020-08-12,89.01
2020-08-13,89.04
2020-08-14,88.97
2020-08-17,88.83
2020-08-18,89.74
2020-08-19,90.41
2020-08-20,90.84
2020-08-21,91.82
2020-08-24,92.0
2020-08-25,92.77
2020-08-26,92.17
2020-08-27,93.31
2020-08-28,93.68
2020-08-31,95.04
2020-09-01,93.87
2020-09-02,95.0
2020-09-03,93.29
2020-09-04,92.94
2020-09-08,91.81
2020-09-09,94.67
2020-09-10,94.35
2020-09-11,94.98
2020-09-14,96.26
2020-09-15,95.08
2020-09-16,95.08
2020-09-17,95.43
2020-09-18,96.86
2020-09-21,97.36
2020-09-22,94.42
2020-09-23,91.19
2020-09-24,92.2
2020-09-25,92.6
2020-09-28,93.98
2020-09-29,94.15
2020-09-30,94.67
2020-10-01,93.46
2020-10-02,94.21
2020-10-05,95.98
2020-10-06,95.12
2020-10-07,96.41
2020-10-08,97.97
2020-10-09,99.88
2020-10-12,101.38
2020-10-13,100.27
2020-10-14,99.65
2020-10-15,97.51
2020-10-16,96.52
2020-10-19,95.78
2020-10-20,94.59
2020-10-21,93.6
2020-10-22,94.39
2020-10-23,94.62
2020-10-26,93.84
2020-10-27,93.8
2020-10-28,91.57
2020-10-29,91.06
2020-10-30,91.9
2020-11-02,94.4
2020-11-03,94.47
2020-11-04,95.86
2020-11-05,97.29
2020-11-06,97.91
2020-11-09,90.39
2020-11-10,92.65
2020-11-11,92.72
2020-11-12,94.68
2020-11-13,95.66
2020-11-16,95.9
2020-11-17,94.93
2020-11-18,94.45
2020-11-19,94.27
2020-11-20,93.14
2020-11-23,92.93
2020-11-24,88.63
2020-11-25,89.4
2020-11-27,88.43
2020-11-30,87.11
2020-12-01,89.16
2020-12-02,89.2
2020-12-03,88.3
2020-12-04,89.52
2020-12-07,90.25
2020-12-08,92.84
2020-12-09,93.6
2020-12-10,94.2
2020-12-11,94.39
2020-12-14,94.1
2020-12-15,96.69
2020-12-16,96.36
2020-12-17,96.31
2020-12-18,96.95
2020-12-21,97.94
2020-12-22,97.99
2020-12-23,97.51
2020-12-24,98.31
2020-12-28,98.12
2020-12-29,97.69
2020-12-30,97.41
2020-12-31,98.88
2021-01-04,97.13
2021-01-05,96.95
2021-01-06,98.79
2021-01-07,94.74
2021-01-08,94.5
2021-01-11,95.09
2021-01-12,95.07
2021-01-13,94.93
2021-01-14,93.45
2021-01-15,94.8
2021-01-19,96.19
2021-01-20,96.06
2021-01-21,94.26
2021-01-22,92.31
2021-01-25,92.42
2021-01-26,91.72
2021-01-27,87.04
2021-01-28,88.49
2021-01-29,87.19
2021-02-01,86.19
2021-02-02,86.75
2021-02-03,86.96
2021-02-04,88.14
2021-02-05,87.47
2021-02-08,86.17
2021-02-09,86.27
2021-02-10,85.53
2021-02-11,86.37
2021-02-12,86.27
2021-02-16,85.13
2021-02-17,86.25
2021-02-18,88.1
2021-02-19,87.06
2021-02-22,87.79
2021-02-23,89.75
2021-02-24,87.74
2021-02-25,87.11
2021-02-26,85.95
2021-03-01,87.64
2021-03-02,88.71
2021-03-03,88.86
2021-03-04,86.99
2021-03-05,89.56
2021-03-08,91.02
2021-03-09,90.18
2021-03-10,92.22
2021-03-11,92.79
2021-03-12,93.04
2021-03-15,93.38
2021-03-16,93.37
2021-03-17,91.1
2021-03-18,90.35
2021-03-19,90.94
2021-03-22,90.13
2021-03-23,90.75
2021-03-24,92.49
2021-03-25,94.23
2021-03-26,95.25
2021-03-29,96.2
2021-03-30,95.55
2021-03-31,95.61
2021-04-01,95.55
2021-04-05,96.72
2021-04-06,95.43
2021-04-07,95.86
2021-04-08,94.98
2021-04-09,95.68
2021-04-12,96.43
2021-04-13,97.29
2021-04-14,97.18
2021-04-15,100.4
2021-04-16,98.76
2021-04-19,99.29
2021-04-20,99.79
2021-04-21,101.21
2021-04-22,100.15
2021-04-23,100.76
2021-04-26,99.86
2021-04-27,99.91
2021-04-28,100.36
2021-04-29,101.95
2021-04-30,100.74
2021-05-03,102.56
2021-05-04,103.13
2021-05-05,103.8
2021-05-06,104.2
