datetime,close
2020-06-05,29.25
2020-06-08,30.41
2020-06-09,29.51
2020-06-10,27.25
2020-06-11,24.48
2020-06-12,25.82
2020-06-15,26.65
2020-06-16,27.24
2020-06-17,26.37
2020-06-18,26.15
2020-06-19,25.35
2020-06-22,25.43
2020-06-23,25.8
2020-06-24,24.08
2020-06-25,25.26
2020-06-26,23.16
2020-06-29,23.53
2020-06-30,25.24
2020-07-01,24.23
2020-07-02,23.76
2020-07-06,24.27
2020-07-07,23.5
2020-07-08,23.66
2020-07-09,22.73
2020-07-10,24.18
2020-07-13,24.37
2020-07-14,23.89
2020-07-15,25.45
2020-07-16,25.45
2020-07-17,25.15
2020-07-20,24.67
2020-07-21,25.55
2020-07-22,25.51
2020-07-23,26.05
2020-07-24,25.58
2020-07-27,24.86
2020-07-28,24.18
2020-07-29,25.35
2020-07-30,24.78
2020-07-31,24.81
2020-08-03,24.23
2020-08-04,24.21
2020-08-05,24.87
2020-08-06,24.76
2020-08-07,25.43
2020-08-10,25.88
2020-08-11,26.65
2020-08-12,26.49
2020-08-13,25.69
2020-08-14,25.9
2020-08-17,25.44
2020-08-18,24.76
2020-08-19,24.8
2020-08-20,24.3
2020-08-21,24.19
2020-08-24,25.23
2020-08-25,25.54
2020-08-26,25.36
2020-08-27,26.01
2020-08-28,26.29
2020-08-31,25.87
2020-09-01,26.17
2020-09-02,26.79
2020-09-03,26.76
2020-09-04,27.36
2020-09-08,26.62
2020-09-09,27.13
2020-09-10,26.72
2020-09-11,27.11
2020-09-14,27.99
2020-09-15,26.69
2020-09-16,27.62
2020-09-17,27.49
2020-09-18,27.16
2020-09-21,25.83
2020-09-22,24.51
2020-09-23,23.95
2020-09-24,23.83
2020-09-25,24.43
2020-09-28,25.34
2020-09-29,24.78
2020-09-30,25.28
2020-10-01,25.43
2020-10-02,26.21
2020-10-05,27.48
2020-10-06,27.13
2020-10-07,28.12
2020-10-08,28.56
2020-10-09,27.96
2020-10-12,28.47
2020-10-13,28.02
2020-10-14,27.58
2020-10-15,27.9
2020-10-16,26.61
2020-10-19,26.64
2020-10-20,27.62
2020-10-21,27.55
2020-10-22,28.86
2020-10-23,29.13
2020-10-26,28.36
2020-10-27,26.66
2020-10-28,25.88
2020-10-29,26.71
2020-10-30,27.25
2020-11-02,28.03
2020-11-03,29.01
2020-11-04,26.72
2020-11-05,28.91
2020-11-06,27.71
2020-11-09,32.33
2020-11-10,32.8
2020-11-11,31.68
2020-11-12,30.68
2020-11-13,31.75
2020-11-16,33.04
2020-11-17,33.07
2020-11-18,32.51
2020-11-19,32.81
2020-11-20,32.28
2020-11-23,33.25
2020-11-24,35.06
2020-11-25,34.7
2020-11-27,34.14
2020-11-30,32.66
2020-12-01,33.62
2020-12-02,34.36
2020-12-03,34.59
2020-12-04,35.43
2020-12-07,35.31
2020-12-08,35.59
2020-12-09,35.81
2020-12-10,36.0
2020-12-11,35.37
2020-12-14,34.62
2020-12-15,35.29
2020-12-16,35.38
2020-12-17,34.78
2020-12-18,34.21
2020-12-21,34.76
2020-12-22,34.24
