datetime,close
2020-06-05,76.92
2020-06-08,77.34
2020-06-09,77.02
2020-06-10,75.64
2020-06-11,66.53
2020-06-12,69.63
2020-06-15,69.6
2020-06-16,71.56
2020-06-17,70.5
2020-06-18,70.44
2020-06-19,69.49
2020-06-22,69.26
2020-06-23,69.33
2020-06-24,66.85
2020-06-25,67.72
2020-06-26,67.28
2020-06-29,69.32
2020-06-30,69.64
2020-07-01,68.7
2020-07-02,69.98
2020-07-06,71.97
2020-07-07,71.3
2020-07-08,69.79
2020-07-09,68.31
2020-07-10,70.19
2020-07-13,71.42
2020-07-14,73.02
2020-07-15,75.23
2020-07-16,75.65
2020-07-17,75.89
2020-07-20,74.99
2020-07-21,76.21
2020-07-22,76.6
2020-07-23,76.48
2020-07-24,76.64
2020-07-27,78.42
2020-07-28,76.36
2020-07-29,77.43
2020-07-30,74.94
2020-07-31,74.63
2020-08-03,75.17
2020-08-04,71.08
2020-08-05,72.56
2020-08-06,71.92
2020-08-07,73.06
2020-08-10,74.25
2020-08-11,75.18
2020-08-12,73.58
2020-08-13,73.37
2020-08-14,73.29
2020-08-17,72.4
2020-08-18,71.9
2020-08-19,71.88
2020-08-20,71.45
2020-08-21,70.8
2020-08-24,73.34
2020-08-25,73.46
2020-08-26,73.28
2020-08-27,73.89
2020-08-28,74.43
2020-08-31,73.11
2020-09-01,76.61
2020-09-02,79.09
2020-09-03,77.64
2020-09-04,78.93
2020-09-08,77.54
2020-09-09,79.8
2020-09-10,78.5
2020-09-11,80.0
2020-09-14,81.0
2020-09-15,80.15
2020-09-16,82.75
2020-09-17,85.48
2020-09-18,83.83
2020-09-21,80.57
2020-09-22,79.01
2020-09-23,77.01
2020-09-24,77.04
2020-09-25,77.3
2020-09-28,78.51
2020-09-29,77.15
2020-09-30,78.12
2020-10-01,76.31
2020-10-02,78.17
2020-10-05,80.51
2020-10-06,80.25
2020-10-07,83.52
2020-10-08,85.4
2020-10-09,86.16
2020-10-12,85.85
2020-10-13,84.52
2020-10-14,85.61
2020-10-15,86.13
2020-10-16,86.49
2020-10-19,85.78
2020-10-20,86.64
2020-10-21,85.35
2020-10-22,86.1
2020-10-23,87.32
2020-10-26,84.82
2020-10-27,82.45
2020-10-28,80.27
2020-10-29,81.89
2020-10-30,80.84
2020-11-02,83.32
2020-11-03,84.63
2020-11-04,82.91
2020-11-05,86.42
2020-11-06,85.03
2020-11-09,90.34
2020-11-10,93.4
2020-11-11,91.76
2020-11-12,90.75
2020-11-13,94.0
2020-11-16,98.0
2020-11-17,97.01
2020-11-18,96.73
2020-11-19,96.51
2020-11-20,96.55
2020-11-23,100.0
2020-11-24,103.22
2020-11-25,99.84
2020-11-27,99.9
2020-11-30,97.4
2020-12-01,98.78
2020-12-02,98.18
2020-12-03,98.15
2020-12-04,102.39
2020-12-07,101.72
2020-12-08,103.17
2020-12-09,104.15
2020-12-10,102.98
2020-12-11,102.5
2020-12-14,100.19
2020-12-15,101.48
2020-12-16,101.7
2020-12-17,102.5
2020-12-18,103.68
2020-12-21,102.58
2020-12-22,100.97
2020-12-23,100.92
2020-12-24,101.31
2020-12-28,99.55
2020-12-29,98.93
2020-12-30,100.27
2020-12-31,100.28
2021-01-04,98.58
2021-01-05,101.43
2021-01-06,107.11
2021-01-07,107.61
2021-01-08,105.73
2021-01-11,107.17
2021-01-12,110.06
2021-01-13,106.59
2021-01-14,106.48
2021-01-15,104.78
2021-01-19,104.87
2021-01-20,105.65
2021-01-21,105.92
2021-01-22,106.22
2021-01-25,104.7
2021-01-26,103.37
2021-01-27,100.3
2021-01-28,99.92
2021-01-29,98.35
2021-02-01,100.0
2021-02-02,102.0
2021-02-03,102.61
2021-02-04,102.18
2021-02-05,104.5
2021-02-08,107.46
2021-02-09,106.07
2021-02-10,105.1
2021-02-11,106.48
2021-02-12,109.23
2021-02-16,110.32
2021-02-17,110.25
2021-02-18,108.86
2021-02-19,111.92
2021-02-22,113.41
2021-02-23,112.36
2021-02-24,113.37
2021-02-25,110.16
2021-02-26,109.26
2021-03-01,111.84
2021-03-02,113.34
2021-03-03,113.77
2021-03-04,111.19
2021-03-05,115.28
2021-03-08,116.46
2021-03-09,114.33
2021-03-10,116.91
2021-03-11,118.02
2021-03-12,117.32
2021-03-15,113.41
2021-03-16,110.76
2021-03-17,112.52
2021-03-18,112.7
2021-03-19,111.8
2021-03-22,112.23
2021-03-23,106.6
2021-03-24,108.76
2021-03-25,111.59
2021-03-26,112.68
2021-03-29,110.18
2021-03-30,111.51
2021-03-31,110.12
2021-04-01,111.29
2021-04-05,111.16
2021-04-06,111.57
2021-04-07,111.58
2021-04-08,110.03
2021-04-09,112.23
2021-04-12,113.92
2021-04-13,112.64
2021-04-14,114.05
2021-04-15,114.66
2021-04-16,114.94
2021-04-19,113.56
2021-04-20,112.07
2021-04-21,114.35
2021-04-22,110.77
2021-04-23,113.6
2021-04-26,115.66
2021-04-27,115.78
2021-04-28,115.36
2021-04-29,116.6
2021-04-30,115.39
2021-05-03,118.35
2021-05-04,121.15
2021-05-05,123.04
2021-05-06,124.04
2021-05-07,124.97
2021-05-10,124.88
2021-05-11,128.39999
2021-05-12,125.08
2021-05-13,127.59
2021-05-14,128.99001
2021-05-17,129.89
2021-05-18,127.04
2021-05-19,124.81
2021-05-20,122.8
2021-05-21,124.83
2021-05-24,126.26
2021-05-25,123.78
2021-05-26,123.66
2021-05-27,125.11
2021-05-28,125.4
2021-06-01,130.03
2021-06-02,127.79
2021-06-03,128.98
2021-06-04,129.31
2021-06-07,127.84
2021-06-08,128.45
2021-06-09,126.74
2021-06-10,124.97
2021-06-11,125.33
2021-06-14,122.1
2021-06-15,122.39
2021-06-16,121.48
2021-06-17,116.97
2021-06-18,114.15
2021-06-21,119.04
2021-06-22,117.9
2021-06-23,117.06
2021-06-24,117.21
2021-06-25,116.78
2021-06-28,115.59
2021-06-29,116.1
2021-06-30,116.75
2021-07-01,116.92
2021-07-02,116.71
2021-07-06,113.07
2021-07-07,114.12
2021-07-08,111.52
2021-07-09,114.95
2021-07-12,115.23
2021-07-13,113.54
2021-07-14,113.37
2021-07-15,112.89
2021-07-16,109.2
2021-07-19,105.69
2021-07-20,108.19
2021-07-21,109.84
2021-07-22,108.26
2021-07-23,110.05
2021-07-26,111.79
2021-07-27,110.85
2021-07-28,111.12
2021-07-29,112.76
2021-07-30,112.72
2021-08-02,111.88
2021-08-03,111.77
2021-08-04,109.02
2021-08-05,110.59
2021-08-06,112.82
2021-08-09,112.81
2021-08-10,114.45
2021-08-11,116.75
2021-08-12,116.32
2021-08-13,115.7
2021-08-16,114.73
2021-08-17,113.02
2021-08-18,111.26
2021-08-19,109.74
2021-08-20,109.9
2021-08-23,111.78
2021-08-24,113.03
2021-08-25,113.85
2021-08-26,112.51
2021-08-27,115.27
2021-08-30,113.58
2021-08-31,113.16
2021-09-01,112.76
2021-09-02,113.28
2021-09-03,112.56
2021-09-07,111.97
2021-09-08,109.29
2021-09-09,109.37
2021-09-10,109.47
2021-09-13,110.2
2021-09-14,104.5
2021-09-15,106.01
2021-09-16,104.96
2021-09-17,103.09
2021-09-20,99.65
2021-09-21,99.18
2021-09-22,100.17
2021-09-23,101.82
2021-09-24,102.2
2021-09-27,105.5
2021-09-28,104.58
2021-09-29,104.0
2021-09-30,100.74
2021-10-01,102.5
2021-10-04,102.11
2021-10-05,104.62
2021-10-06,103.12
2021-10-07,104.99
2021-10-08,105.22
2021-10-11,104.66
2021-10-12,104.15
2021-10-13,103.82
2021-10-14,107.3
2021-10-15,107.37
2021-10-18,106.98
2021-10-19,107.24
2021-10-20,108.25
2021-10-21,107.44
2021-10-22,107.57
2021-10-25,108.79
2021-10-26,108.65
2021-10-27,105.55
2021-10-28,110.04
2021-10-29,104.03
2021-11-01,105.47
2021-11-02,109.3
2021-11-03,109.55
2021-11-04,108.04
2021-11-05,111.83
2021-11-08,111.12
2021-11-09,112.34
2021-11-10,112.04
2021-11-11,115.19
2021-11-12,115.86
