datetime,close
2020-06-05,47.05
2020-06-08,48.72
2020-06-09,47.27
2020-06-10,44.34
2020-06-11,40.05
2020-06-12,41.88
2020-06-15,43.01
2020-06-16,44.2
2020-06-17,42.85
2020-06-18,42.25
2020-06-19,42.17
2020-06-22,41.25
2020-06-23,41.89
2020-06-24,39.54
2020-06-25,40.0
2020-06-26,39.14
2020-06-29,40.35
2020-06-30,41.54
2020-07-01,40.16
2020-07-02,40.79
2020-07-06,42.26
2020-07-07,41.01
2020-07-08,41.87
2020-07-09,39.85
2020-07-10,41.89
2020-07-13,41.86
2020-07-14,42.53
2020-07-15,44.56
2020-07-16,44.76
2020-07-17,44.51
2020-07-20,43.86
2020-07-21,44.8
2020-07-22,44.98
2020-07-23,45.02
2020-07-24,44.77
2020-07-27,44.71
2020-07-28,43.43
2020-07-29,43.88
2020-07-30,42.45
2020-07-31,42.43
2020-08-03,42.97
2020-08-04,43.24
2020-08-05,44.65
2020-08-06,42.95
2020-08-07,44.32
2020-08-10,45.56
2020-08-11,46.18
2020-08-12,45.43
2020-08-13,44.89
2020-08-14,45.22
2020-08-17,44.4
2020-08-18,43.76
2020-08-19,43.69
2020-08-20,43.14
2020-08-21,42.61
2020-08-24,44.62
2020-08-25,44.31
2020-08-26,43.71
2020-08-27,44.34
2020-08-28,44.33
2020-08-31,42.11
2020-09-01,42.88
2020-09-02,43.3
2020-09-03,42.52
2020-09-04,43.42
2020-09-08,42.09
2020-09-09,41.85
2020-09-10,40.77
2020-09-11,41.07
2020-09-14,41.32
2020-09-15,39.95
2020-09-16,41.61
2020-09-17,41.29
2020-09-18,40.16
2020-09-21,39.0
2020-09-22,38.82
2020-09-23,37.79
2020-09-24,38.23
2020-09-25,38.63
2020-09-28,40.1
2020-09-29,40.06
2020-09-30,40.27
2020-10-01,40.36
2020-10-02,41.05
2020-10-05,41.88
2020-10-06,41.73
2020-10-07,43.09
2020-10-08,43.45
2020-10-09,42.47
2020-10-12,42.8
2020-10-13,41.25
2020-10-14,41.24
2020-10-15,41.56
2020-10-16,41.2
2020-10-19,40.87
2020-10-20,41.22
2020-10-21,41.09
2020-10-22,42.94
2020-10-23,43.52
2020-10-26,41.99
2020-10-27,39.35
2020-10-28,38.25
2020-10-29,39.12
2020-10-30,39.22
2020-11-02,39.71
2020-11-03,41.8
2020-11-04,41.72
2020-11-05,43.01
2020-11-06,41.37
2020-11-09,47.64
2020-11-10,47.24
2020-11-11,45.55
2020-11-12,44.59
2020-11-13,46.3
2020-11-16,48.32
2020-11-17,48.99
2020-11-18,48.99
2020-11-19,48.93
2020-11-20,49.0
2020-11-23,50.64
2020-11-24,52.6
2020-11-25,52.0
2020-11-27,51.4
2020-11-30,49.79
2020-12-01,49.62
2020-12-02,50.86
2020-12-03,51.36
2020-12-04,52.28
2020-12-07,50.71
2020-12-08,50.77
2020-12-09,50.05
2020-12-10,49.82
2020-12-11,48.77
2020-12-14,47.82
2020-12-15,48.34
2020-12-16,48.22
2020-12-17,48.4
2020-12-18,47.95
2020-12-21,47.5
2020-12-22,47.4
2020-12-23,48.54
2020-12-24,48.48
2020-12-28,48.68
2020-12-29,48.39
2020-12-30,48.78
2020-12-31,49.61
2021-01-04,48.31
