datetime,close
2020-05-13,34.84
2020-05-14,35.85
2020-05-15,35.99
2020-05-18,39.09
2020-05-19,37.97
2020-05-20,39.6
2020-05-21,40.75
2020-05-22,40.3
2020-05-26,43.94
2020-05-27,45.15
2020-05-28,44.12
2020-05-29,43.98
2020-06-01,44.14
2020-06-02,45.99
2020-06-03,49.5
2020-06-04,50.41
2020-06-05,54.02
2020-06-08,55.49
2020-06-09,53.33
2020-06-10,51.33
2020-06-11,46.31
2020-06-12,47.57
2020-06-15,47.86
2020-06-16,48.37
2020-06-17,47.79
2020-06-18,47.48
2020-06-19,46.74
2020-06-22,46.19
2020-06-23,46.01
2020-06-24,42.75
2020-06-25,43.52
2020-06-26,43.04
2020-06-29,44.24
2020-06-30,45.22
2020-07-01,44.85
2020-07-02,45.51
2020-07-06,46.38
2020-07-07,44.31
2020-07-08,44.49
2020-07-09,43.87
2020-07-10,44.2
2020-07-13,43.19
2020-07-14,43.35
2020-07-15,45.22
2020-07-16,44.59
2020-07-17,44.95
2020-07-20,44.26
2020-07-21,43.94
2020-07-22,44.36
2020-07-23,43.92
2020-07-24,43.16
2020-07-27,42.33
2020-07-28,41.85
2020-07-29,43.0
2020-07-30,43.27
2020-07-31,43.81
2020-08-03,41.35
2020-08-04,41.49
2020-08-05,42.83
2020-08-06,42.25
2020-08-07,44.02
2020-08-10,45.37
2020-08-11,47.2
2020-08-12,47.28
2020-08-13,46.03
2020-08-14,46.02
2020-08-17,45.09
2020-08-18,44.66
2020-08-19,44.31
2020-08-20,44.08
2020-08-21,44.91
2020-08-24,47.01
2020-08-25,47.39
2020-08-26,46.98
2020-08-27,47.35
2020-08-28,47.85
2020-08-31,47.03
2020-09-01,47.77
2020-09-02,49.04
2020-09-03,48.62
2020-09-04,48.22
2020-09-08,47.63
2020-09-09,48.53
2020-09-10,47.52
2020-09-11,46.91
2020-09-14,48.78
2020-09-15,49.63
2020-09-16,49.99
2020-09-17,49.57
2020-09-18,48.48
2020-09-21,46.45
2020-09-22,46.01
2020-09-23,45.0
2020-09-24,45.66
2020-09-25,46.32
2020-09-28,47.34
2020-09-29,46.77
2020-09-30,46.97
2020-10-01,47.4
2020-10-02,48.07
2020-10-05,48.61
2020-10-06,48.57
2020-10-07,48.95
2020-10-08,50.99
2020-10-09,49.9
2020-10-12,50.31
2020-10-13,49.05
2020-10-14,49.02
2020-10-15,49.04
2020-10-16,48.61
2020-10-19,47.58
2020-10-20,47.9
2020-10-21,47.05
2020-10-22,46.73
2020-10-23,46.66
2020-10-26,45.58
2020-10-27,44.86
2020-10-28,43.92
2020-10-29,51.3
2020-10-30,50.4
2020-11-02,52.67
2020-11-03,51.93
2020-11-04,51.99
2020-11-05,52.92
2020-11-06,52.27
2020-11-09,58.15
2020-11-10,56.53
2020-11-11,56.31
2020-11-12,55.28
2020-11-13,57.83
2020-11-16,59.92
2020-11-17,60.49
2020-11-18,58.13
2020-11-19,58.47
2020-11-20,58.3
2020-11-23,59.78
2020-11-24,61.46
2020-11-25,61.26
2020-11-27,61.13
2020-11-30,61.14
2020-12-01,61.64
2020-12-02,61.85
2020-12-03,63.78
2020-12-04,65.74
2020-12-07,66.28
2020-12-08,66.75
2020-12-09,66.1
2020-12-10,66.33
2020-12-11,66.15
2020-12-14,65.13
2020-12-15,66.13
2020-12-16,65.83
2020-12-17,64.41
2020-12-18,63.29
2020-12-21,62.39
2020-12-22,62.57
2020-12-23,62.75
2020-12-24,62.93
2020-12-28,62.97
2020-12-29,62.11
2020-12-30,62.4
2020-12-31,62.72
2021-01-04,59.5
2021-01-05,59.42
2021-01-06,60.61
2021-01-07,61.5
2021-01-08,62.64
2021-01-11,62.24
2021-01-12,63.04
2021-01-13,61.81
2021-01-14,62.26
2021-01-15,63.52
2021-01-19,63.61
2021-01-20,64.9
2021-01-21,64.99
2021-01-22,66.02
2021-01-25,65.12
2021-01-26,63.13
2021-01-27,62.66
2021-01-28,63.99
2021-01-29,60.98
2021-02-01,63.7
2021-02-02,65.44
2021-02-03,65.67
2021-02-04,67.66
2021-02-05,67.42
2021-02-08,67.93
2021-02-09,67.44
2021-02-10,68.1
2021-02-11,70.35
2021-02-12,71.33
2021-02-16,70.56
2021-02-17,69.72
2021-02-18,69.81
2021-02-19,72.74
2021-02-22,75.25
2021-02-23,77.88
2021-02-24,77.18
2021-02-25,74.57
2021-02-26,75.77
2021-03-01,77.55
2021-03-02,77.99
2021-03-03,77.91
2021-03-04,76.63
2021-03-05,77.28
2021-03-08,76.69
2021-03-09,74.95
2021-03-10,76.81
2021-03-11,78.56
2021-03-12,79.28
2021-03-15,80.57
2021-03-16,78.35
2021-03-17,79.32
2021-03-18,78.35
2021-03-19,76.74
2021-03-22,75.93
2021-03-23,74.98
2021-03-24,74.16
2021-03-25,76.43
2021-03-26,79.09
2021-03-29,77.3
2021-03-30,79.12
2021-03-31,79.11
2021-04-01,80.05
2021-04-05,80.93
2021-04-06,79.64
2021-04-07,78.4
2021-04-08,78.77
2021-04-09,80.42
2021-04-12,80.98
2021-04-13,78.94
2021-04-14,81.02
2021-04-15,81.78
2021-04-16,81.82
2021-04-19,82.34
2021-04-20,81.41
2021-04-21,81.3
2021-04-22,81.61
2021-04-23,82.9
2021-04-26,84.05
2021-04-27,83.48
2021-04-28,82.63
2021-04-29,85.15
2021-04-30,85.2
2021-05-03,85.39
2021-05-04,85.43
2021-05-05,84.96
2021-05-06,85.32
2021-05-07,86.9
2021-05-10,86.59
2021-05-11,85.73
2021-05-12,84.38
2021-05-13,86.38
2021-05-14,86.32
2021-05-17,86.68
2021-05-18,85.64
2021-05-19,84.89
2021-05-20,87.75
2021-05-21,87.18
2021-05-24,88.76
2021-05-25,88.12
2021-05-26,88.22
2021-05-27,87.59
2021-05-28,87.78
2021-06-01,89.66
2021-06-02,90.01
2021-06-03,88.8
2021-06-04,87.97
2021-06-07,87.74
2021-06-08,89.41
2021-06-09,89.04
2021-06-10,88.02
2021-06-11,88.71
2021-06-14,87.7
2021-06-15,89.11
2021-06-16,87.79
2021-06-17,87.33
2021-06-18,86.36
2021-06-21,89.0
2021-06-22,88.36
2021-06-23,86.57
2021-06-24,87.72
2021-06-25,87.23
2021-06-28,86.72
2021-06-29,85.99
2021-06-30,85.73
2021-07-01,87.18
2021-07-02,85.92
2021-07-06,84.94
2021-07-07,85.14
2021-07-08,84.25
2021-07-09,85.83
2021-07-12,85.81
2021-07-13,83.19
2021-07-14,83.49
2021-07-15,83.5
2021-07-16,82.96
2021-07-19,80.54
2021-07-20,83.86
2021-07-21,85.96
2021-07-22,86.69
2021-07-23,87.73
2021-07-26,89.2
2021-07-27,91.35
2021-07-28,91.0
2021-07-29,95.56
2021-07-30,96.46
2021-08-03,96.21
2021-08-04,96.64
2021-08-05,98.13
2021-08-06,97.75
2021-08-09,96.3
2021-08-10,96.31
2021-08-11,96.1
2021-08-12,95.6
2021-08-13,95.38
2021-08-16,94.34
2021-08-17,92.92
2021-08-18,91.84
2021-08-19,91.76
2021-08-20,92.66
2021-08-23,93.16
2021-08-24,92.89
2021-08-25,94.49
2021-08-26,93.64
2021-08-27,95.62
2021-08-30,96.02
2021-08-31,96.3
2021-09-01,97.35
2021-09-02,97.9
2021-09-03,98.56
2021-09-28,97.08
2021-09-29,98.61
2021-09-30,97.36
2021-10-01,100.45
2021-10-04,99.04
2021-10-05,99.88
2021-10-06,97.09
2021-10-07,98.64
2021-10-08,97.1
2021-10-11,97.69
2021-10-12,98.03
2021-10-13,98.3
2021-10-14,101.07
2021-10-15,101.47
2021-10-18,102.05
2021-10-19,101.98
2021-10-20,102.2
2021-10-21,102.31
2021-10-22,103.92
2021-10-25,104.9
2021-10-26,104.59
2021-10-27,103.52
2021-10-28,105.0
2021-10-29,104.08
2021-11-01,101.23
2021-11-02,102.12
2021-11-03,104.82
2021-11-04,105.38
2021-11-05,106.7
2021-11-08,106.02
2021-11-09,106.02
2021-11-10,104.94
2021-11-11,105.37
2021-11-12,105.29
