datetime,close
2020-06-05,11.1
2020-06-08,11.51
2020-06-09,10.92
2020-06-10,10.51
2020-06-11,9.47
2020-06-12,9.7
2020-06-15,9.86
2020-06-16,10.36
2020-06-17,9.81
2020-06-18,9.78
2020-06-19,9.51
2020-06-22,9.51
2020-06-23,9.86
2020-06-24,9.47
2020-06-25,9.6
2020-06-26,9.11
2020-06-29,9.83
2020-06-30,9.74
2020-07-01,9.57
2020-07-02,9.58
2020-07-06,9.91
2020-07-07,9.5
2020-07-08,9.61
2020-07-09,9.18
2020-07-10,9.52
2020-07-13,9.39
2020-07-14,9.47
2020-07-15,10.31
2020-07-16,10.36
2020-07-17,10.2
2020-07-20,9.91
2020-07-21,10.5
2020-07-22,10.44
2020-07-23,10.87
2020-07-24,10.91
2020-07-27,11.2
2020-07-28,11.3
2020-07-29,11.61
2020-07-30,11.45
2020-07-31,10.52
2020-08-03,9.67
2020-08-04,9.93
2020-08-05,10.61
2020-08-06,10.14
2020-08-07,10.33
2020-08-10,10.71
2020-08-11,10.98
2020-08-12,11.01
2020-08-13,10.84
2020-08-14,10.74
2020-08-17,10.47
2020-08-18,10.24
2020-08-19,9.98
2020-08-20,9.76
2020-08-21,9.73
2020-08-24,10.24
2020-08-25,10.17
2020-08-26,9.88
2020-08-27,9.92
2020-08-28,10.15
2020-08-31,9.81
2020-09-01,10.25
2020-09-02,10.39
2020-09-03,10.43
2020-09-04,10.43
2020-09-08,10.95
2020-09-09,10.59
2020-09-10,10.74
2020-09-11,11.32
2020-09-14,11.72
2020-09-15,11.66
2020-09-16,12.23
2020-09-17,11.97
2020-09-18,11.52
2020-09-21,10.69
2020-09-22,10.92
2020-09-23,11.43
2020-09-24,11.01
2020-09-25,11.16
2020-09-28,11.43
2020-09-29,11.08
2020-09-30,11.23
2020-10-01,11.86
2020-10-02,12.06
2020-10-05,12.16
2020-10-06,11.69
2020-10-07,12.17
2020-10-08,12.6
2020-10-09,12.55
2020-10-12,12.73
2020-10-13,12.82
2020-10-14,12.54
2020-10-15,12.92
2020-10-16,13.0
2020-10-19,13.26
2020-10-20,13.47
2020-10-21,13.94
2020-10-22,14.18
2020-10-23,14.66
2020-10-26,13.93
2020-10-27,13.67
2020-10-28,13.31
2020-10-29,13.79
2020-10-30,13.84
2020-11-02,14.46
2020-11-03,14.77
2020-11-04,14.4
2020-11-05,14.97
2020-11-06,14.81
2020-11-09,15.37
2020-11-10,15.06
2020-11-11,14.51
2020-11-12,14.33
2020-11-13,14.89
2020-11-16,15.76
2020-11-17,16.1
2020-11-18,16.27
2020-11-19,16.69
2020-11-20,16.73
2020-11-23,16.54
2020-11-24,17.01
2020-11-25,16.86
2020-11-27,16.68
2020-11-30,16.57
2020-12-01,16.54
2020-12-02,16.32
2020-12-03,17.0
2020-12-04,16.83
2020-12-07,17.06
2020-12-08,17.24
2020-12-09,17.57
2020-12-10,17.6
2020-12-11,17.17
2020-12-14,17.14
