datetime,close
2020-06-05,17.75
2020-06-08,19.06
2020-06-09,18.67
2020-06-10,17.26
2020-06-11,15.63
2020-06-12,15.94
2020-06-15,16.35
2020-06-16,16.84
2020-06-17,16.1
2020-06-18,16.11
2020-06-19,15.49
2020-06-22,15.35
2020-06-23,15.54
2020-06-24,14.31
2020-06-25,14.95
2020-06-26,14.7
2020-06-29,14.85
2020-06-30,15.39
2020-07-01,15.41
2020-07-02,15.41
2020-07-06,15.51
2020-07-07,15.22
2020-07-08,15.52
2020-07-09,14.65
2020-07-10,15.05
2020-07-13,15.06
2020-07-14,15.56
2020-07-15,15.6
2020-07-16,15.39
2020-07-17,15.27
2020-07-20,15.05
2020-07-21,16.31
2020-07-22,16.46
2020-07-23,16.69
2020-07-24,16.37
2020-07-27,16.33
2020-07-28,15.87
2020-07-29,15.81
2020-07-30,15.33
2020-07-31,15.49
2020-08-03,15.63
2020-08-04,16.19
2020-08-05,16.76
2020-08-06,16.77
2020-08-07,16.57
2020-08-10,17.26
2020-08-11,17.18
2020-08-12,17.53
2020-08-13,17.12
2020-08-14,17.23
2020-08-17,16.67
2020-08-18,16.46
2020-08-19,16.33
2020-08-20,15.73
2020-08-21,15.45
2020-08-24,15.91
2020-08-25,15.65
2020-08-26,15.05
2020-08-27,14.73
2020-08-28,14.8
2020-08-31,14.28
2020-09-01,13.88
2020-09-02,14.11
2020-09-03,14.55
2020-09-04,14.53
2020-09-08,13.99
2020-09-09,14.12
2020-09-10,13.87
2020-09-11,13.95
2020-09-14,14.63
2020-09-15,14.71
2020-09-16,15.01
2020-09-17,15.19
2020-09-18,15.17
2020-09-21,14.33
2020-09-22,14.4
2020-09-23,13.53
2020-09-24,13.32
2020-09-25,13.13
2020-09-28,13.47
2020-09-29,13.13
2020-09-30,13.29
2020-10-01,12.76
2020-10-02,12.65
2020-10-05,12.96
2020-10-06,12.76
2020-10-07,12.97
2020-10-08,13.38
2020-10-09,13.2
2020-10-12,13.13
2020-10-13,12.86
2020-10-14,13.15
2020-10-15,13.45
2020-10-16,13.14
2020-10-19,13.11
2020-10-20,13.63
2020-10-21,14.04
2020-10-22,14.46
2020-10-23,14.29
2020-10-26,13.9
2020-10-27,14.17
2020-10-28,13.7
2020-10-29,14.35
2020-10-30,14.77
2020-11-02,15.71
2020-11-03,15.88
2020-11-04,15.66
2020-11-05,15.73
2020-11-06,15.57
2020-11-09,17.67
2020-11-10,17.6
2020-11-11,17.56
2020-11-12,17.25
2020-11-13,17.87
2020-11-16,18.79
2020-11-17,19.26
2020-11-18,18.58
2020-11-19,18.31
2020-11-20,18.21
2020-11-23,19.26
2020-11-24,20.26
2020-11-25,19.78
2020-11-27,19.78
2020-11-30,18.72
2020-12-01,19.23
2020-12-02,19.67
2020-12-03,20.42
2020-12-04,21.79
2020-12-07,22.02
2020-12-08,22.42
2020-12-09,22.73
2020-12-10,23.12
2020-12-11,22.67
2020-12-14,21.68
2020-12-15,22.01
2020-12-16,21.5
2020-12-17,21.5
2020-12-18,21.17
2020-12-21,21.25
2020-12-22,21.19
2020-12-23,21.13
2020-12-24,21.01
2020-12-28,20.88
2020-12-29,20.75
2020-12-30,21.21
2020-12-31,20.85
2021-01-04,21.02
2021-01-05,21.26
2021-01-06,22.16
2021-01-07,22.67
2021-01-08,22.47
2021-01-11,22.65
2021-01-12,23.04
2021-01-13,23.0
2021-01-14,23.71
2021-01-15,22.87
2021-01-19,22.87
2021-01-20,22.89
2021-01-21,22.55
2021-01-22,22.17
2021-01-25,21.05
2021-01-26,20.61
2021-01-27,20.41
2021-01-28,20.6
2021-01-29,20.09
2021-02-01,20.31
2021-02-02,20.39
2021-02-03,21.4
2021-02-04,22.36
2021-02-05,22.08
2021-02-08,22.55
2021-02-09,22.27
2021-02-10,23.01
2021-02-11,22.53
2021-02-12,22.7
2021-02-16,23.23
2021-02-17,23.55
2021-02-18,23.08
2021-02-19,23.4
2021-02-22,24.13
2021-02-23,23.91
2021-02-24,25.15
2021-02-25,24.73
2021-02-26,24.48
2021-03-01,24.98
2021-03-02,24.37
2021-03-03,24.46
2021-03-04,24.03
2021-03-05,24.35
2021-03-08,24.33
2021-03-09,23.95
2021-03-10,24.38
2021-03-11,24.16
2021-03-12,24.37
2021-03-15,24.22
2021-03-16,23.02
2021-03-17,23.98
2021-03-18,22.98
2021-03-19,22.62
2021-03-22,22.31
2021-03-23,21.69
2021-03-24,22.07
2021-03-25,21.53
2021-03-26,22.34
2021-03-29,22.16
2021-03-30,21.73
2021-03-31,21.61
2021-04-01,21.73
2021-04-05,21.41
2021-04-06,21.25
2021-04-07,21.43
2021-04-08,20.71
2021-04-09,20.11
2021-04-12,20.09
2021-04-13,19.88
2021-04-14,20.35
2021-04-15,19.9
2021-04-16,20.1
2021-04-19,20.03
2021-04-20,19.51
2021-04-21,19.55
2021-04-22,19.82
2021-04-23,20.01
2021-04-26,20.14
2021-04-27,19.92
2021-04-28,20.25
2021-04-29,20.54
2021-04-30,20.08
2021-05-03,21.69
2021-05-04,21.57
2021-05-05,22.6
2021-05-06,23.07
2021-05-07,24.63
2021-05-10,24.63
2021-05-11,24.81
2021-05-12,23.97
2021-05-13,24.35
2021-05-14,25.1
2021-05-17,26.31
2021-05-18,25.81
2021-05-19,25.23
2021-05-20,25.39
2021-05-21,25.54
2021-05-24,25.15
2021-05-25,24.14
2021-05-26,24.17
2021-05-27,24.34
2021-05-28,24.4
2021-06-01,25.52
2021-06-02,26.27
2021-06-03,25.86
2021-06-04,26.02
2021-06-07,25.94
2021-06-08,25.95
2021-06-09,25.81
2021-06-10,25.51
2021-06-11,25.91
2021-06-14,24.74
2021-06-15,24.95
2021-06-16,24.7
2021-06-17,23.98
2021-06-18,22.67
2021-06-21,23.84
