datetime,close
2020-06-05,22.7
2020-06-08,24.23
2020-06-09,23.65
2020-06-10,22.54
2020-06-11,20.85
2020-06-12,21.79
2020-06-15,22.23
2020-06-16,22.49
2020-06-17,22.5
2020-06-18,22.56
2020-06-19,21.95
2020-06-22,21.69
2020-06-23,21.55
2020-06-24,20.82
2020-06-25,21.08
2020-06-26,20.04
2020-06-29,20.44
2020-06-30,20.97
2020-07-01,20.2
2020-07-02,20.38
2020-07-06,20.93
2020-07-07,20.67
2020-07-08,21.13
2020-07-09,20.27
2020-07-10,21.1
2020-07-13,20.86
2020-07-14,20.76
2020-07-15,21.52
2020-07-16,21.31
2020-07-17,21.05
2020-07-20,20.4
2020-07-21,21.26
2020-07-22,20.91
2020-07-23,20.8
2020-07-24,20.6
2020-07-27,21.02
2020-07-28,20.56
2020-07-29,21.12
2020-07-30,20.67
2020-07-31,21.05
2020-08-03,21.47
2020-08-04,21.21
2020-08-05,22.18
2020-08-06,21.85
2020-08-07,22.31
2020-08-10,22.38
2020-08-11,22.67
2020-08-12,22.01
2020-08-13,21.88
2020-08-14,21.95
2020-08-17,21.8
2020-08-18,21.72
2020-08-19,21.67
2020-08-20,21.17
2020-08-21,20.99
2020-08-24,21.57
2020-08-25,21.46
2020-08-26,21.3
2020-08-27,21.35
2020-08-28,21.33
2020-08-31,21.06
2020-09-01,21.02
2020-09-02,21.77
2020-09-03,21.52
2020-09-04,21.3
2020-09-08,20.56
2020-09-09,20.4
2020-09-10,20.07
2020-09-11,20.23
2020-09-14,20.37
2020-09-15,20.39
2020-09-16,21.06
2020-09-17,21.0
2020-09-18,21.22
2020-09-21,20.1
2020-09-22,19.87
2020-09-23,19.58
2020-09-24,19.27
2020-09-25,19.64
2020-09-28,20.47
2020-09-29,20.04
2020-09-30,20.35
2020-10-01,19.99
2020-10-02,20.52
2020-10-05,20.8
2020-10-06,20.91
2020-10-07,21.74
2020-10-08,22.32
2020-10-09,22.59
2020-10-12,22.97
2020-10-13,23.16
2020-10-14,23.41
2020-10-15,23.62
2020-10-16,23.49
2020-10-19,23.2
2020-10-20,22.98
2020-10-21,22.76
2020-10-22,23.18
2020-10-23,23.22
2020-10-26,22.84
2020-10-27,19.73
2020-10-28,18.64
2020-10-29,18.64
2020-10-30,18.75
2020-11-02,19.59
2020-11-03,20.01
2020-11-04,19.24
2020-11-05,20.13
2020-11-06,19.41
2020-11-09,20.42
2020-11-10,20.76
2020-11-11,20.36
2020-11-12,19.81
2020-11-13,20.51
2020-11-16,21.27
2020-11-17,21.48
2020-11-18,21.32
2020-11-19,20.85
2020-11-20,20.59
2020-11-23,21.26
2020-11-24,22.37
2020-11-25,22.32
2020-11-27,22.27
2020-11-30,21.99
2020-12-01,22.36
2020-12-02,22.49
2020-12-03,22.96
2020-12-04,23.71
2020-12-07,23.57
2020-12-08,23.96
2020-12-09,23.98
2020-12-10,24.26
2020-12-11,24.33
2020-12-14,23.73
2020-12-15,24.62
2020-12-16,24.75
2020-12-17,25.16
2020-12-18,25.01
2020-12-21,24.82
2020-12-22,24.55
2020-12-23,24.74
2020-12-24,24.8
2020-12-28,25.04
2020-12-29,24.8
2020-12-30,24.78
2020-12-31,24.99
2021-01-04,24.34
2021-01-05,24.28
2021-01-06,25.53
2021-01-07,25.49
2021-01-08,25.28
2021-01-11,25.75
2021-01-12,26.53
2021-01-13,26.45
2021-01-14,27.12
2021-01-15,26.56
2021-01-19,27.14
2021-01-20,27.03
2021-01-21,26.46
2021-01-22,26.47
2021-01-25,26.51
2021-01-26,27.62
2021-01-27,27.17
2021-01-28,27.73
2021-01-29,26.29
2021-02-01,26.58
2021-02-02,25.62
2021-02-03,25.86
2021-02-04,25.68
2021-02-05,25.86
2021-02-08,26.59
2021-02-09,26.62
2021-02-10,27.46
2021-02-11,27.22
2021-02-12,27.62
2021-02-16,28.08
2021-02-17,27.68
2021-02-18,26.99
2021-02-19,27.51
2021-02-22,27.34
2021-02-23,27.07
2021-02-24,27.93
2021-02-25,26.8
2021-02-26,26.17
2021-03-01,27.2
2021-03-02,26.96
2021-03-03,26.74
2021-03-04,25.62
2021-03-05,26.47
2021-03-08,26.48
2021-03-09,26.06
2021-03-10,28.62
2021-03-11,28.79
2021-03-12,28.83
2021-03-15,29.93
2021-03-16,29.76
2021-03-17,30.26
2021-03-18,29.49
2021-03-19,29.87
2021-03-22,29.98
2021-03-23,28.65
2021-03-24,28.59
2021-03-25,29.12
2021-03-26,29.4
2021-03-29,30.11
2021-03-30,29.33
2021-03-31,29.6
2021-04-01,30.16
2021-04-05,30.54
2021-04-06,30.41
2021-04-07,30.45
2021-04-08,30.26
2021-04-09,30.68
2021-04-12,31.26
2021-04-13,29.62
2021-04-14,29.76
2021-04-15,30.29
2021-04-16,30.05
2021-04-19,29.97
2021-04-20,29.09
2021-04-21,29.58
2021-04-22,28.67
2021-04-23,29.42
2021-04-26,29.83
2021-04-27,29.82
2021-04-28,30.13
2021-04-29,30.6
2021-04-30,30.0
2021-05-03,30.26
2021-05-04,32.04
2021-05-05,33.67
2021-05-06,33.98
2021-05-07,34.1
2021-05-10,34.68
2021-05-11,33.79
2021-05-12,32.7
2021-05-13,34.08
2021-05-14,34.54
2021-05-17,34.6
2021-05-18,33.6
2021-05-19,33.46
2021-05-20,33.22
2021-05-21,33.54
2021-05-24,33.49
2021-05-25,33.08
2021-05-26,33.3
2021-05-27,34.19
2021-05-28,34.21
2021-06-01,34.51
2021-06-02,34.98
2021-06-03,35.54
2021-06-04,35.74
2021-06-07,35.45
2021-06-08,35.12
2021-06-09,34.79
2021-06-10,34.44
2021-06-11,34.79
2021-06-14,33.92
2021-06-15,34.28
2021-06-16,33.84
2021-06-17,32.24
2021-06-18,31.43
2021-06-21,32.42
2021-06-22,32.19
2021-06-23,32.1
2021-06-24,32.53
2021-06-25,33.18
2021-06-28,32.54
2021-06-29,31.92
2021-06-30,31.99
2021-07-01,32.26
2021-07-02,31.95
2021-07-06,31.6
2021-07-07,32.11
2021-07-08,31.08
2021-07-09,32.15
2021-07-12,32.28
2021-07-13,30.7
2021-07-14,30.23
2021-07-15,30.19
2021-07-16,29.41
2021-07-19,28.58
2021-07-20,29.32
2021-07-21,29.92
2021-07-22,29.44
2021-07-23,29.3
2021-07-26,29.86
2021-07-27,29.44
2021-07-28,29.2
2021-07-29,29.8
2021-07-30,29.55
2021-08-02,29.77
2021-08-03,30.71
2021-08-04,30.6
2021-08-05,31.04
2021-08-06,31.66
2021-08-09,32.39
2021-08-10,32.82
2021-08-11,33.42
2021-08-12,33.18
2021-08-13,32.77
2021-08-16,32.63
2021-08-17,31.66
2021-08-18,31.01
2021-08-19,30.65
2021-08-20,31.13
2021-08-23,31.54
2021-08-24,32.07
2021-08-25,32.54
2021-08-26,32.14
2021-08-27,32.94
2021-08-30,32.42
2021-08-31,32.44
2021-09-01,32.27
2021-09-02,32.44
2021-09-03,32.0
2021-09-07,31.23
2021-09-08,31.3
2021-09-09,31.36
2021-09-10,31.32
2021-09-13,31.75
2021-09-14,31.32
2021-09-15,32.04
2021-09-16,31.67
2021-09-17,31.33
2021-09-20,29.77
2021-09-21,29.63
2021-09-22,30.56
2021-09-23,31.36
2021-09-24,31.66
2021-09-27,32.19
2021-09-28,30.95
2021-09-29,30.46
2021-09-30,29.72
2021-10-01,30.1
2021-10-04,29.55
2021-10-05,30.2
2021-10-06,30.44
2021-10-07,30.51
2021-10-08,30.05
2021-10-11,29.94
2021-10-12,28.89
2021-10-13,28.93
2021-10-14,30.14
2021-10-15,30.05
2021-10-18,29.77
2021-10-19,29.92
2021-10-20,30.45
2021-10-21,30.19
2021-10-22,30.73
2021-10-25,31.11
2021-10-26,31.05
2021-10-27,30.36
2021-10-28,31.23
2021-10-29,31.49
2021-11-01,35.15
2021-11-02,37.68
2021-11-03,37.25
2021-11-04,36.27
2021-11-05,35.89
2021-11-08,35.74
2021-11-09,35.72
2021-11-10,35.01
2021-11-11,35.48
2021-11-12,35.91
